,case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,pop2026
75,70,AK,True,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,1p1c,14640.0,4754.07864,11174.22732,9011.46972,7027.23924,12327.9144,7084.06272,66018.99,104803.0,292936.0
76,1002,KY,False,"Anderson County, KY",Anderson County,1p3c,12216.0,8368.24872,14419.0476,11753.19288,7458.48492,12725.6292,8041.281,74981.8824,69496.6171875,223553.0
77,2458,TN,True,"Knoxville, TN HUD Metro FMR Area",Anderson County,2p4c,12474.588,14245.4028,14994.8808,19143.8832,9681.7068,12334.926,4274.92968,87150.3168,63724.82421875,223553.0
78,1506,MO,True,"St. Joseph, MO-KS MSA",Andrew County,2p3c,13728.0264,10469.29104,15535.6104,23412.5568,8767.64208,15524.6148,11305.00776,98742.75,75624.7109375,
79,1506,MO,True,"St. Joseph, MO-KS MSA",Andrew County,1p1c,10233.3918,4373.05812,12068.6004,9984.63576,5292.4926,7150.04952,6794.85576,55897.0836,75624.7109375,
80,2554,TX,False,"Andrews County, TX",Andrews County,2p3c,15708.0,10762.13892,14894.7396,19172.772,9591.1758,10983.27024,6064.00776,87176.1036,86046.9921875,
81,2554,TX,False,"Andrews County, TX",Andrews County,1p1c,12528.0,4495.38168,11803.6956,8226.5208,6168.2424,5600.04084,4940.59752,53762.478,86046.9921875,
82,1184,ME,True,"Lewiston-Auburn, ME MSA",Androscoggin County,2p3c,14568.0,13434.3708,13982.1984,17572.602,10146.36252,14232.8484,9154.78128,93091.1664,69864.21875,
83,1184,ME,True,"Lewiston-Auburn, ME MSA",Androscoggin County,1p1c,11364.0,5611.58208,10562.42064,7527.04692,6150.9228,7493.0142,6356.37084,55065.3576,69864.21875,
84,2555,TX,False,"Angelina County, TX",Angelina County,2p3c,13212.0,10286.26176,14785.1076,19172.772,8514.34716,9780.81228,4913.53896,80664.8376,59067.140625,
85,2555,TX,False,"Angelina County, TX",Angelina County,1p1c,10452.0,4296.60612,11357.26536,8226.5208,5344.00164,4986.94332,4070.33208,48733.6704,59067.140625,
86,1205,MD,True,"Baltimore-Columbia-Towson, MD MSA",Anne Arundel County,2p3c,27280.8516,12592.434,15443.2788,12617.6952,14447.664,20964.5796,16515.1572,119861.6604,119051.2421875,607120.0
87,1205,MD,True,"Baltimore-Columbia-Towson, MD MSA",Anne Arundel County,1p1c,21057.8352,5259.90192,11143.70508,5390.39208,9535.95408,11614.30596,11263.3674,75265.4592,119051.2421875,607120.0
88,1337,MN,True,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Anoka County,2p3c,22315.5588,11311.22748,15587.1816,15045.204,12184.3116,27323.874,17405.2104,121172.568,97988.984375,384340.0
89,1337,MN,True,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Anoka County,1p1c,15880.7136,4724.73744,11199.27468,6243.5178,7466.16792,14189.982,9743.76924,69448.1664,97988.984375,384340.0
